id_municipio,id_municipio_nome,sigla_uf,populacao,area,taxa_alfabetizacao,indice_envelhecimento,idade_mediana,razao_sexo
1200203,Cruzeiro do Sul,AC,91147,8783,0.86245,21.81,26,99.58
2707800,Roteiro,AL,6468,129,0.74973,22.92,26,99.88
1301902,Itacoatiara,AM,103209,8892,0.93927,22.52,26,104.21
1301704,Humaitá,AM,57359,33111,0.88743,20.23,26,105.42
1302009,Itapiranga,AM,10107,4335,0.94075,21.38,26,105.71
1303007,Nhamundá,AM,20036,14107,0.93221,22.28,26,106.4
1304401,Urucurituba,AM,23539,2886,0.93704,21.68,26,102.56
1600279,Laranjal do Jari,AP,35059,30783,0.89752,20.59,26,102.84
1600055,Serra do Navio,AP,4631,7713,0.93713,15.53,26,106.86
2103554,Conceição do Lago-Açu,MA,14898,726,0.76987,24.52,26,106.49
2109304,Presidente Vargas,MA,10543,460,0.80286,25.32,26,98.44
2101707,Barreirinhas,MA,65461,3046,0.83108,23.05,26,103.56
2106631,Matões do Norte,MA,17413,794,0.80803,21.49,26,102.79
2112704,Vargem Grande,MA,43250,1959,0.7757,28.06,26,100.68
2100303,Aldeias Altas,MA,23283,1942,0.71543,25.71,26,100.38
2102325,Buriticupu,MA,55406,2545,0.7945,25.92,26,100
2108256,Pedro do Rosário,MA,24297,1754,0.79584,26.37,26,99.85
2106904,Monção,MA,27746,1246,0.79547,29.06,26,100.83
2107209,Nina Rodrigues,MA,14163,571,0.80371,21.6,26,93
2104651,Governador Newton Bello,MA,10704,1144,0.81391,27.32,26,107.74
2108058,Paulino Neves,MA,16994,979,0.7892,26.16,26,105.25
2112407,Turiaçu,MA,37459,2622,0.8428,25.85,26,97.41
2104800,Grajaú,MA,73736,8862,0.82836,24.01,26,101.58
1500909,Augusto Corrêa,PA,44524,1100,0.82544,24.11,26,104.69
1504703,Moju,PA,83890,9094,0.87528,19.43,26,109.12
1503457,Ipixuna do Pará,PA,30206,5216,0.8245,20.81,26,106.43
1502855,Curuá,PA,14105,1431,0.91958,21.99,26,108.25
1508001,Tomé-Açu,PA,67373,5145,0.88632,20.48,26,103.73
