"model";"AIC";"BIC";"AICc";"RMSE"
"ARIMA(0,0,1)(0,1,1)_12";2027.87269463587;2035.62759707188;2028.12801378481;6330.72650936376
"ARIMA(0,0,1)(0,1,0)_12";2075.57193881325;2080.74187377059;2075.69825460272;8734.36649854224
"ARIMA(0,0,0)(0,1,1)_12";2146.99198797296;2152.1619229303;2147.11830376243;11856.9303151398
"ARIMA(0,0,0)(0,1,0)_12";2196.56497740488;2199.14994488355;2196.60664407154;16648.3287461198
"ARIMA(0,0,2)(0,0,1)_12";2260.33846702675;2273.84086885571;2260.91539010367;5711.60813973434
"ARIMA(0,0,2)(0,0,0)_12";2315.9927480635;2326.79466952667;2316.37370044445;8335.62741504499
"ARIMA(0,0,1)(0,0,1)_12";2376.9045613614;2387.70648282457;2377.28551374235;9961.01647752744
"ARIMA(0,0,1)(0,0,0)_12";2439.04044973695;2447.14189083433;2439.26686483129;15047.3381682292
"ARIMA(0,0,0)(0,0,1)_12";2515.40675589513;2523.50819699251;2515.63317098947;19168.6300944683
"ARIMA(0,0,0)(0,0,0)_12";2577.44503436583;2582.84599509741;2577.55718389854;29101.3224088721
