model;AIC;BIC;AICc;RMSE
ARIMA(2,1,0)(0,1,0)_12;1015.554299;1022.342339;1015.912508;270.107769
ARIMA(0,1,2)(1,1,0)_12;1018.987391;1028.038111;1019.593452;271.2582614
ARIMA(1,1,1)(0,1,0)_12;1016.209891;1022.99793;1016.5681;271.4128092
ARIMA(0,1,2)(0,1,1)_12;1019.048016;1028.098735;1019.654076;271.4281298
ARIMA(2,2,0)(0,1,0)_12;1008.575394;1015.32088;1008.939031;273.0134305
ARIMA(1,1,0)(0,1,0)_12;1015.718102;1020.243461;1015.894572;274.4157665
ARIMA(2,0,0)(0,1,0)_12;1037.735211;1044.565209;1038.088152;274.6128191
ARIMA(0,1,2)(1,0,1)_12;1188.17958;1200.273783;1188.958801;275.4437129
ARIMA(0,1,2)(1,0,0)_12;1186.189073;1195.864435;1186.701893;275.4800948
ARIMA(1,2,0)(0,1,0)_12;1007.836426;1012.333417;1008.015531;275.5556568
ARIMA(0,2,2)(0,1,0)_12;1010.448063;1017.193549;1010.811699;276.7879821
ARIMA(0,1,2)(0,1,0)_12;1019.234655;1026.022694;1019.592864;276.799294
ARIMA(0,2,1)(0,1,0)_12;1008.46419;1012.961181;1008.643295;276.8075002
ARIMA(0,2,0)(0,1,0)_12;1010.441512;1012.690008;1010.500336;284.9076371
ARIMA(2,0,2)(1,0,1)_12;1224.119633;1243.566167;1226.039633;286.6373119
ARIMA(0,1,2)(0,0,1)_12;1200.560282;1210.235645;1201.073103;307.2949148
ARIMA(1,0,2)(1,0,1)_12;1240.397317;1257.413034;1241.871001;339.6531914
ARIMA(0,1,1)(1,1,0)_12;1050.20446;1056.992499;1050.562668;345.9477475
ARIMA(0,1,1)(0,1,1)_12;1050.433383;1057.221422;1050.791592;346.8163645
ARIMA(0,1,2)(0,0,0)_12;1217.562092;1224.818614;1217.86589;348.7781265
ARIMA(0,1,1)(0,1,0)_12;1049.143632;1053.668992;1049.320103;349.0240878
ARIMA(0,1,1)(1,0,0)_12;1228.46681;1235.723331;1228.770607;358.0804737
ARIMA(0,1,1)(0,0,1)_12;1245.714825;1252.971347;1246.018623;410.6477565
